Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-28 23:07:26.9,-0.0,24.9,97.1,24.3,30.9
2026-03-28 23:07:27.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:27.9,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:28.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:29.0,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:29.4,-0.0,24.9,97.1,24.3,30.9
2026-03-28 23:07:30.0,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:30.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:31.1,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:31.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:32.1,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:32.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:33.2,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:33.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:34.2,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:34.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:35.3,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:35.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:36.3,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:36.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:37.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:37.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:38.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:38.6,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:39.4,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:39.5,-0.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:40.5,4.0,24.9,97.1,24.4,30.9
2026-03-28 23:07:40.6,4.1,24.9,97.1,24.4,30.9
2026-03-28 23:07:41.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:41.6,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:42.6,4.1,24.9,97.1,24.4,30.9
2026-03-28 23:07:42.6,4.1,24.9,97.1,24.4,30.9
2026-03-28 23:07:43.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:43.7,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:44.6,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:44.7,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:45.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:45.8,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:46.6,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:46.8,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:47.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:47.9,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:48.6,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:49.0,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:49.4,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:50.0,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:50.6,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:51.1,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:51.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:52.1,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:52.6,4.1,24.9,97.1,24.2,30.9
2026-03-28 23:07:53.2,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:53.4,4.1,24.9,97.1,24.3,30.9
2026-03-28 23:07:54.2,4.1,24.9,97.1,24.2,30.9
