Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-88.521
1.95,-88.108
2.93,-87.835
3.91,-87.203
4.88,-86.062
5.86,-83.689
6.84,-84.871
7.81,-84.694
8.79,-82.504
9.77,-81.084
10.74,-78.528
11.72,-81.161
12.70,-79.561
13.67,-77.530
14.65,-75.675
15.62,-73.273
16.60,-79.279
17.58,-79.039
18.55,-79.915
19.53,-78.542
20.51,-77.798
21.48,-80.237
22.46,-78.439
23.44,-77.846
24.41,-76.978
25.39,-75.024
26.37,-72.276
27.34,-71.408
28.32,-66.113
29.30,-62.884
30.27,-66.651
31.25,-70.470
32.23,-68.495
33.20,-69.641
34.18,-63.922
35.16,-63.847
36.13,-68.774
37.11,-71.089
38.09,-73.599
39.06,-73.901
40.04,-72.592
41.02,-75.101
41.99,-71.382
42.97,-70.297
43.95,-70.198
44.92,-71.935
45.90,-67.216
46.88,-74.313
47.85,-75.129
48.83,-73.201
49.80,-75.026
50.78,-72.854
51.76,-73.073
52.73,-73.180
53.71,-71.923
54.69,-72.505
55.66,-73.911
56.64,-73.567
57.62,-68.276
58.59,-67.249
59.57,-71.444
60.55,-75.211
61.52,-72.529
62.50,-72.031
63.48,-73.571
64.45,-74.325
65.43,-72.038
66.41,-72.492
67.38,-69.107
68.36,-68.572
69.34,-67.993
70.31,-70.691
71.29,-71.957
72.27,-71.729
73.24,-73.220
74.22,-73.709
75.20,-72.970
76.17,-73.347
77.15,-73.500
78.12,-73.702
79.10,-73.525
80.08,-71.854
81.05,-72.732
82.03,-73.286
83.01,-72.715
83.98,-73.030
84.96,-72.892
85.94,-73.711
86.91,-72.940
87.89,-72.639
88.87,-70.594
89.84,-70.902
90.82,-70.612
91.80,-72.141
92.77,-70.912
93.75,-66.382
94.73,-72.086
95.70,-72.100
96.68,-71.446
97.66,-71.719
98.63,-71.422
99.61,-70.833
100.59,-71.652
101.56,-70.123
102.54,-70.932
103.52,-69.156
104.49,-68.013
105.47,-67.733
106.45,-66.274
107.42,-68.772
108.40,-69.185
109.38,-67.184
110.35,-68.651
111.33,-67.924
112.30,-68.399
113.28,-67.466
114.26,-66.922
115.23,-66.608
116.21,-65.746
117.19,-66.460
118.16,-63.627
119.14,-59.213
120.12,-45.940
121.09,-61.525
122.07,-60.697
123.05,-65.471
124.02,-66.978
125.00,-66.625
125.98,-67.171
126.95,-66.155
127.93,-64.795
128.91,-65.473
129.88,-64.739
130.86,-63.027
131.84,-60.216
132.81,-52.399
133.79,-50.345
134.77,-60.033
135.74,-62.534
136.72,-64.167
137.70,-64.652
138.67,-65.943
139.65,-65.156
140.62,-65.778
141.60,-64.199
142.58,-65.314
143.55,-64.771
144.53,-64.061
145.51,-64.755
146.48,-64.679
147.46,-64.351
148.44,-58.771
149.41,-62.004
150.39,-61.477
151.37,-59.955
152.34,-60.037
153.32,-61.132
154.30,-61.336
155.27,-61.559
156.25,-64.006
157.23,-63.590
158.20,-64.363
159.18,-63.737
160.16,-58.528
161.13,-63.890
162.11,-63.754
163.09,-64.233
164.06,-63.171
165.04,-64.365
166.02,-64.105
166.99,-62.568
167.97,-64.311
168.95,-63.411
169.92,-64.150
170.90,-65.519
171.88,-65.269
172.85,-63.168
173.83,-65.248
174.80,-65.727
175.78,-64.817
176.76,-65.664
177.73,-65.937
178.71,-65.248
179.69,-65.144
180.66,-64.576
181.64,-66.069
182.62,-65.145
183.59,-66.692
184.57,-66.279
185.55,-65.283
186.52,-62.475
187.50,-65.287
188.48,-66.101
189.45,-65.582
190.43,-65.343
191.41,-66.393
192.38,-66.517
193.36,-66.513
194.34,-67.834
195.31,-66.970
196.29,-67.111
197.27,-67.025
198.24,-66.842
199.22,-66.711
200.20,-67.413
201.17,-67.144
202.15,-68.278
203.12,-67.897
204.10,-68.847
205.08,-67.924
206.05,-66.696
207.03,-66.983
208.01,-60.012
208.98,-67.807
209.96,-68.671
210.94,-67.740
211.91,-67.730
212.89,-68.385
213.87,-67.504
214.84,-68.740
215.82,-68.353
216.80,-68.487
217.77,-67.941
218.75,-69.115
219.73,-68.187
220.70,-68.179
221.68,-68.024
222.66,-68.570
223.63,-68.913
224.61,-68.905
225.59,-69.260
226.56,-67.173
227.54,-70.890
228.52,-68.901
229.49,-68.481
230.47,-69.330
231.45,-68.660
232.42,-69.857
233.40,-69.953
234.38,-70.437
235.35,-71.011
236.33,-69.130
237.30,-68.175
238.28,-67.488
239.26,-64.709
240.23,-60.514
241.21,-66.678
242.19,-67.721
243.16,-69.322
244.14,-68.047
245.12,-67.114
246.09,-70.781
247.07,-70.467
248.05,-70.920
249.02,-70.781
250.00,-68.706
250.98,-68.647
251.95,-69.911
252.93,-68.673
253.91,-69.537
254.88,-69.997
255.86,-71.879
256.84,-71.049
257.81,-70.049
258.79,-70.964
259.77,-71.163
260.74,-72.185
261.72,-72.584
262.70,-73.483
263.67,-72.366
264.65,-71.718
265.62,-71.286
266.60,-67.988
267.58,-68.965
268.55,-72.032
269.53,-71.357
270.51,-72.188
271.48,-71.994
272.46,-71.352
273.44,-72.826
274.41,-71.913
275.39,-72.689
276.37,-73.170
277.34,-73.806
278.32,-72.363
279.30,-71.574
280.27,-71.892
281.25,-72.556
282.23,-72.187
283.20,-73.023
284.18,-73.585
285.16,-72.645
286.13,-72.719
287.11,-72.696
288.09,-72.886
289.06,-73.970
290.04,-73.202
291.02,-72.355
291.99,-73.447
292.97,-73.547
293.95,-72.183
294.92,-73.211
295.90,-72.351
296.88,-73.295
297.85,-73.577
298.83,-73.200
299.80,-74.322
300.78,-73.423
301.76,-73.547
302.73,-74.169
303.71,-73.225
304.69,-74.001
305.66,-72.704
306.64,-72.366
307.62,-73.150
308.59,-72.909
309.57,-72.560
310.55,-73.562
311.52,-75.051
312.50,-73.971
313.48,-73.562
314.45,-74.281
315.43,-74.147
316.41,-73.607
317.38,-74.551
318.36,-74.480
319.34,-74.970
320.31,-75.146
321.29,-73.748
322.27,-75.037
323.24,-74.679
324.22,-74.562
325.20,-73.914
326.17,-74.468
327.15,-74.474
328.12,-73.897
329.10,-74.001
330.08,-73.230
331.05,-74.351
332.03,-74.848
333.01,-74.111
333.98,-74.537
334.96,-73.905
335.94,-73.535
336.91,-74.559
337.89,-74.895
338.87,-75.054
339.84,-74.539
340.82,-73.142
341.80,-74.351
342.77,-74.163
343.75,-74.551
344.73,-75.773
345.70,-74.119
346.68,-73.963
347.66,-73.163
348.63,-73.855
349.61,-74.695
350.59,-74.715
351.56,-74.682
352.54,-74.039
353.52,-75.634
354.49,-74.444
355.47,-74.359
356.45,-73.669
357.42,-74.156
358.40,-74.340
359.38,-74.538
360.35,-73.303
361.33,-74.900
362.30,-74.838
363.28,-73.545
364.26,-74.165
365.23,-74.450
366.21,-72.635
367.19,-72.608
368.16,-75.140
369.14,-74.209
370.12,-74.611
371.09,-73.814
372.07,-74.135
373.05,-71.833
374.02,-73.924
375.00,-75.855
375.98,-74.167
376.95,-75.238
377.93,-75.087
378.91,-73.962
379.88,-74.169
380.86,-74.407
381.84,-74.144
382.81,-74.138
383.79,-73.471
384.77,-73.259
385.74,-73.717
386.72,-74.149
387.70,-74.979
388.67,-75.701
389.65,-74.997
390.62,-74.962
391.60,-75.124
392.58,-73.794
393.55,-74.049
394.53,-74.191
395.51,-74.076
396.48,-74.630
397.46,-75.510
398.44,-74.212
399.41,-72.359
400.39,-71.348
401.37,-74.777
402.34,-74.182
403.32,-74.423
404.30,-74.841
405.27,-74.389
406.25,-74.465
407.23,-74.803
408.20,-75.144
409.18,-73.780
410.16,-73.645
411.13,-74.856
412.11,-73.938
413.09,-74.751
414.06,-74.585
415.04,-74.224
416.02,-74.397
416.99,-73.736
417.97,-74.148
418.95,-74.651
419.92,-74.283
420.90,-73.906
421.88,-74.791
422.85,-74.206
423.83,-74.862
424.80,-73.863
425.78,-74.073
426.76,-73.628
427.73,-74.801
428.71,-74.455
429.69,-74.432
430.66,-74.750
431.64,-74.740
432.62,-74.942
433.59,-74.276
434.57,-74.238
435.55,-74.572
436.52,-73.514
437.50,-73.316
438.48,-73.474
439.45,-73.370
440.43,-73.840
441.41,-73.407
442.38,-73.369
443.36,-73.750
444.34,-75.362
445.31,-73.836
446.29,-73.393
447.27,-73.996
448.24,-75.068
449.22,-73.956
450.20,-74.415
451.17,-73.492
452.15,-73.630
453.12,-73.379
454.10,-73.875
455.08,-72.733
456.05,-72.236
457.03,-73.658
458.01,-73.744
458.98,-74.152
459.96,-73.206
460.94,-72.282
461.91,-74.590
462.89,-73.926
463.87,-75.059
464.84,-74.852
465.82,-72.457
466.80,-73.850
467.77,-73.772
468.75,-72.367
469.73,-73.967
470.70,-73.466
471.68,-73.566
472.66,-74.121
473.63,-73.429
474.61,-73.208
475.59,-72.983
476.56,-73.353
477.54,-72.758
478.52,-71.869
479.49,-72.852
480.47,-72.264
481.45,-74.154
482.42,-72.724
483.40,-73.148
484.38,-71.530
485.35,-72.913
486.33,-72.552
487.30,-72.467
488.28,-72.691
489.26,-72.817
490.23,-72.818
491.21,-71.756
492.19,-73.276
493.16,-72.071
494.14,-72.906
495.12,-73.840
496.09,-73.572
497.07,-73.702
498.05,-73.521
499.02,-73.245
500.00,-72.953
500.98,-72.148
501.95,-73.273
502.93,-73.305
503.91,-71.644
504.88,-71.449
505.86,-71.657
506.84,-71.143
507.81,-71.773
508.79,-72.233
509.77,-71.054
510.74,-71.161
511.72,-71.950
512.70,-71.377
513.67,-70.108
514.65,-70.414
515.62,-71.262
516.60,-71.537
517.58,-71.933
518.55,-72.323
519.53,-69.829
520.51,-71.403
521.48,-71.250
522.46,-72.302
523.44,-70.971
524.41,-71.361
525.39,-70.961
526.37,-71.770
527.34,-70.788
528.32,-70.621
529.30,-70.526
530.27,-70.447
531.25,-71.462
532.23,-70.772
533.20,-67.928
534.18,-69.739
535.16,-69.884
536.13,-70.323
537.11,-70.336
538.09,-69.681
539.06,-70.547
540.04,-70.551
541.02,-69.769
541.99,-69.641
542.97,-69.252
543.95,-69.680
544.92,-69.978
545.90,-68.888
546.88,-69.349
547.85,-68.725
548.83,-70.324
549.80,-70.294
550.78,-69.802
551.76,-68.694
552.73,-68.694
553.71,-68.817
554.69,-68.619
555.66,-69.594
556.64,-69.383
557.62,-68.684
558.59,-68.520
559.57,-68.189
560.55,-68.499
561.52,-69.206
562.50,-68.807
563.48,-68.925
564.45,-68.322
565.43,-67.371
566.41,-67.668
567.38,-67.339
568.36,-68.169
569.34,-68.157
570.31,-67.820
571.29,-67.919
572.27,-67.059
573.24,-66.296
574.22,-66.554
575.20,-66.926
576.17,-66.769
577.15,-67.585
578.12,-66.638
579.10,-66.981
580.08,-65.584
581.05,-65.491
582.03,-65.375
583.01,-67.659
583.98,-66.688
584.96,-65.985
585.94,-65.241
586.91,-65.351
587.89,-64.865
588.87,-66.437
589.84,-65.124
590.82,-66.023
591.80,-65.307
592.77,-63.827
593.75,-65.844
594.73,-65.075
595.70,-65.734
596.68,-64.877
597.66,-63.993
598.63,-65.155
599.61,-64.952
600.59,-64.968
601.56,-64.765
602.54,-64.581
603.52,-64.885
604.49,-62.637
605.47,-62.874
606.45,-62.359
607.42,-63.488
608.40,-63.857
609.38,-64.245
610.35,-62.806
611.33,-63.623
612.30,-62.917
613.28,-60.453
614.26,-62.298
615.23,-62.362
616.21,-61.211
617.19,-61.081
618.16,-60.847
619.14,-60.674
620.12,-62.107
621.09,-61.764
622.07,-60.586
623.05,-61.035
624.02,-60.797
625.00,-60.709
625.98,-61.858
626.95,-61.414
627.93,-61.471
628.91,-60.503
629.88,-60.770
630.86,-60.546
631.84,-60.662
632.81,-60.663
633.79,-59.986
634.77,-60.719
635.74,-59.777
636.72,-60.206
637.70,-60.554
638.67,-60.160
639.65,-60.922
640.62,-60.946
641.60,-60.115
642.58,-59.242
643.55,-60.553
644.53,-60.482
645.51,-60.414
646.48,-60.881
647.46,-60.536
648.44,-59.842
649.41,-60.237
650.39,-61.707
651.37,-60.591
652.34,-61.602
653.32,-61.072
654.30,-61.762
655.27,-59.795
656.25,-61.811
657.23,-60.961
658.20,-61.583
659.18,-62.153
660.16,-63.035
661.13,-61.321
662.11,-61.676
663.09,-61.543
664.06,-61.893
665.04,-62.757
666.02,-62.340
666.99,-61.254
667.97,-63.269
668.95,-62.619
669.92,-63.931
670.90,-63.577
671.88,-64.994
672.85,-62.941
673.83,-62.589
674.80,-63.394
675.78,-62.914
676.76,-62.896
677.73,-63.741
678.71,-64.002
679.69,-63.875
680.66,-64.795
681.64,-64.306
682.62,-64.405
683.59,-64.461
684.57,-63.777
685.55,-65.429
686.52,-65.073
687.50,-65.060
688.48,-65.511
689.45,-65.272
690.43,-63.951
691.41,-65.048
692.38,-66.160
693.36,-64.641
694.34,-66.748
695.31,-66.422
696.29,-67.717
697.27,-67.182
698.24,-65.928
699.22,-66.769
700.20,-66.967
701.17,-66.664
702.15,-67.265
