Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-28 23:12:15.3,-0.0,24.9,97.1,24.5,31.6
2026-03-28 23:12:15.5,-0.0,24.9,97.1,24.5,31.6
2026-03-28 23:12:15.6,-0.0,24.9,97.1,24.5,31.6
2026-03-28 23:12:16.3,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:16.6,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:17.3,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:17.4,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:17.4,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:18.2,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:18.4,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:18.6,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:19.3,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:19.4,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:19.5,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:20.2,-0.0,24.9,97.1,24.4,31.7
2026-03-28 23:12:20.5,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:20.6,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:21.3,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:21.4,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:21.6,-0.0,25.0,97.1,24.4,31.7
2026-03-28 23:12:22.3,-0.0,25.0,97.1,24.3,31.7
2026-03-28 23:12:22.6,2.8,25.0,97.1,24.4,31.6
2026-03-28 23:12:22.6,2.8,25.0,97.1,24.4,31.6
2026-03-28 23:12:23.3,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:23.4,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:23.7,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:24.2,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:24.6,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:24.7,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:25.3,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:25.4,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:25.8,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:26.2,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:26.6,1.8,25.0,97.1,24.4,31.7
2026-03-28 23:12:26.8,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:27.3,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:27.4,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:27.9,1.8,25.0,97.1,24.3,31.7
2026-03-28 23:12:28.2,1.7,25.0,97.1,24.4,31.7
2026-03-28 23:12:28.6,1.7,25.0,97.1,24.4,31.7
2026-03-28 23:12:28.9,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:29.3,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:29.4,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:30.0,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:30.2,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:30.6,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:31.1,1.7,25.0,97.1,24.3,31.7
2026-03-28 23:12:31.3,1.7,25.0,97.1,24.3,31.7
