Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-86.314
1.95,-86.123
2.93,-85.655
3.91,-85.329
4.88,-85.348
5.86,-81.918
6.84,-83.819
7.81,-84.328
8.79,-80.274
9.77,-80.135
10.74,-78.630
11.72,-78.925
12.70,-78.931
13.67,-77.109
14.65,-74.648
15.62,-73.023
16.60,-77.602
17.58,-78.637
18.55,-78.286
19.53,-77.806
20.51,-77.440
21.48,-78.270
22.46,-77.416
23.44,-76.945
24.41,-74.765
25.39,-72.520
26.37,-70.785
27.34,-69.077
28.32,-63.242
29.30,-59.821
30.27,-63.853
31.25,-67.281
32.23,-68.732
33.20,-67.717
34.18,-64.456
35.16,-62.641
36.13,-68.120
37.11,-71.576
38.09,-72.859
39.06,-73.731
40.04,-71.325
41.02,-74.479
41.99,-71.624
42.97,-69.593
43.95,-70.449
44.92,-70.565
45.90,-67.034
46.88,-73.896
47.85,-74.186
48.83,-74.274
49.80,-73.820
50.78,-72.257
51.76,-72.338
52.73,-71.699
53.71,-72.311
54.69,-73.586
55.66,-73.312
56.64,-74.250
57.62,-69.738
58.59,-67.012
59.57,-68.278
60.55,-73.811
61.52,-71.723
62.50,-71.143
63.48,-74.569
64.45,-73.894
65.43,-73.458
66.41,-72.132
67.38,-72.068
68.36,-69.356
69.34,-67.863
70.31,-70.665
71.29,-71.680
72.27,-72.061
73.24,-74.275
74.22,-74.336
75.20,-74.283
76.17,-72.418
77.15,-72.131
78.12,-73.077
79.10,-72.764
80.08,-69.546
81.05,-70.746
82.03,-71.520
83.01,-72.133
83.98,-72.405
84.96,-72.784
85.94,-73.163
86.91,-71.999
87.89,-71.649
88.87,-69.813
89.84,-70.766
90.82,-68.058
91.80,-70.819
92.77,-70.249
93.75,-67.372
94.73,-70.368
95.70,-70.174
96.68,-71.372
97.66,-70.945
98.63,-70.978
99.61,-70.416
100.59,-70.550
101.56,-71.307
102.54,-70.704
103.52,-69.362
104.49,-69.321
105.47,-67.938
106.45,-66.936
107.42,-68.718
108.40,-69.025
109.38,-69.138
110.35,-68.055
111.33,-68.550
112.30,-68.664
113.28,-68.157
114.26,-67.874
115.23,-68.065
116.21,-68.128
117.19,-66.248
118.16,-64.063
119.14,-61.046
120.12,-45.487
121.09,-62.745
122.07,-61.454
123.05,-65.021
124.02,-67.116
125.00,-67.653
125.98,-66.278
126.95,-65.972
127.93,-61.982
128.91,-65.598
129.88,-63.929
130.86,-63.169
131.84,-60.801
132.81,-53.047
133.79,-50.812
134.77,-60.238
135.74,-63.030
136.72,-64.438
137.70,-65.506
138.67,-65.910
139.65,-64.995
140.62,-64.882
141.60,-65.206
142.58,-64.695
143.55,-64.721
144.53,-65.232
145.51,-64.708
146.48,-63.454
147.46,-62.013
148.44,-58.242
149.41,-61.839
150.39,-61.972
151.37,-60.891
152.34,-61.014
153.32,-61.874
154.30,-62.146
155.27,-63.206
156.25,-63.438
157.23,-63.550
158.20,-64.156
159.18,-63.739
160.16,-59.886
161.13,-64.492
162.11,-64.210
163.09,-63.631
164.06,-64.259
165.04,-63.110
166.02,-62.486
166.99,-63.020
167.97,-63.990
168.95,-64.070
169.92,-64.777
170.90,-63.425
171.88,-63.887
172.85,-63.914
173.83,-63.277
174.80,-65.402
175.78,-65.381
176.76,-65.951
177.73,-65.009
178.71,-65.338
179.69,-65.923
180.66,-64.785
181.64,-64.428
182.62,-66.815
183.59,-66.362
184.57,-66.061
185.55,-64.532
186.52,-61.770
187.50,-64.859
188.48,-64.708
189.45,-65.640
190.43,-65.111
191.41,-66.375
192.38,-65.712
193.36,-66.571
194.34,-67.384
195.31,-67.887
196.29,-66.101
197.27,-66.183
198.24,-66.486
199.22,-66.876
200.20,-66.021
201.17,-66.806
202.15,-68.594
203.12,-67.735
204.10,-66.525
205.08,-67.032
206.05,-66.826
207.03,-68.188
208.01,-60.679
208.98,-68.579
209.96,-66.732
210.94,-67.576
211.91,-66.842
212.89,-67.581
213.87,-67.657
214.84,-67.431
215.82,-67.374
216.80,-67.693
217.77,-68.898
218.75,-68.363
219.73,-68.614
220.70,-66.979
221.68,-67.766
222.66,-67.773
223.63,-68.755
224.61,-68.029
225.59,-67.724
226.56,-65.889
227.54,-69.080
228.52,-68.536
229.49,-68.154
230.47,-68.761
231.45,-67.844
232.42,-68.770
233.40,-69.173
234.38,-69.610
235.35,-69.740
236.33,-69.244
237.30,-69.067
238.28,-67.231
239.26,-65.317
240.23,-59.153
241.21,-66.829
242.19,-67.171
243.16,-68.472
244.14,-68.772
245.12,-70.255
246.09,-69.935
247.07,-69.789
248.05,-69.323
249.02,-70.217
250.00,-68.696
250.98,-69.028
251.95,-69.646
252.93,-69.490
253.91,-70.013
254.88,-69.378
255.86,-69.687
256.84,-70.124
257.81,-71.108
258.79,-70.143
259.77,-70.565
260.74,-70.443
261.72,-70.209
262.70,-71.727
263.67,-70.570
264.65,-71.601
265.62,-72.257
266.60,-68.007
267.58,-68.717
268.55,-71.660
269.53,-72.961
270.51,-71.208
271.48,-70.773
272.46,-72.198
273.44,-71.265
274.41,-71.295
275.39,-71.904
276.37,-72.569
277.34,-71.695
278.32,-71.772
279.30,-70.965
280.27,-71.658
281.25,-71.442
282.23,-70.882
283.20,-71.999
284.18,-70.990
285.16,-71.375
286.13,-71.958
287.11,-71.506
288.09,-70.898
289.06,-72.570
290.04,-72.575
291.02,-72.264
291.99,-70.966
292.97,-71.136
293.95,-70.876
294.92,-71.259
295.90,-71.792
296.88,-72.977
297.85,-71.921
298.83,-72.261
299.80,-72.462
300.78,-71.528
301.76,-72.189
302.73,-71.995
303.71,-71.710
304.69,-72.337
305.66,-72.985
306.64,-71.258
307.62,-72.710
308.59,-73.574
309.57,-72.657
310.55,-72.495
311.52,-72.126
312.50,-73.131
313.48,-73.070
314.45,-71.912
315.43,-73.149
316.41,-72.041
317.38,-72.092
318.36,-72.497
319.34,-72.036
320.31,-73.419
321.29,-72.752
322.27,-72.465
323.24,-72.158
324.22,-72.753
325.20,-72.583
326.17,-72.871
327.15,-72.952
328.12,-73.333
329.10,-72.354
330.08,-73.149
331.05,-71.854
332.03,-72.469
333.01,-72.234
333.98,-71.569
334.96,-74.002
335.94,-73.650
336.91,-74.234
337.89,-74.169
338.87,-72.472
339.84,-72.071
340.82,-72.953
341.80,-74.192
342.77,-74.101
343.75,-75.171
344.73,-74.137
345.70,-73.186
346.68,-72.985
347.66,-72.371
348.63,-72.146
349.61,-74.372
350.59,-73.909
351.56,-73.526
352.54,-72.890
353.52,-73.166
354.49,-72.666
355.47,-72.589
356.45,-72.521
357.42,-72.490
358.40,-72.974
359.38,-72.390
360.35,-72.336
361.33,-72.246
362.30,-72.393
363.28,-72.128
364.26,-71.847
365.23,-72.489
366.21,-70.705
367.19,-71.669
368.16,-72.824
369.14,-71.607
370.12,-72.058
371.09,-73.980
372.07,-72.330
373.05,-72.042
374.02,-73.688
375.00,-72.995
375.98,-72.588
376.95,-73.816
377.93,-73.804
378.91,-73.185
379.88,-72.135
380.86,-72.321
381.84,-72.465
382.81,-72.151
383.79,-72.040
384.77,-73.762
385.74,-72.931
386.72,-72.261
387.70,-72.385
388.67,-73.633
389.65,-72.912
390.62,-72.547
391.60,-71.995
392.58,-74.167
393.55,-72.006
394.53,-72.933
395.51,-71.830
396.48,-72.526
397.46,-71.558
398.44,-72.102
399.41,-72.750
400.39,-71.736
401.37,-72.967
402.34,-72.319
403.32,-73.001
404.30,-72.509
405.27,-72.839
406.25,-71.787
407.23,-72.937
408.20,-72.612
409.18,-72.476
410.16,-72.987
411.13,-73.378
412.11,-72.865
413.09,-72.331
414.06,-72.838
415.04,-72.460
416.02,-72.180
416.99,-72.308
417.97,-72.700
418.95,-72.250
419.92,-73.804
420.90,-71.571
421.88,-71.785
422.85,-71.165
423.83,-72.669
424.80,-72.962
425.78,-72.093
426.76,-71.397
427.73,-73.332
428.71,-72.280
429.69,-72.404
430.66,-72.032
431.64,-72.272
432.62,-72.482
433.59,-71.762
434.57,-71.586
435.55,-72.331
436.52,-73.486
437.50,-72.879
438.48,-72.284
439.45,-70.871
440.43,-71.126
441.41,-71.528
442.38,-71.055
443.36,-72.112
444.34,-72.143
445.31,-70.912
446.29,-70.387
447.27,-71.404
448.24,-69.834
449.22,-72.334
450.20,-70.884
451.17,-70.661
452.15,-71.716
453.12,-71.184
454.10,-71.491
455.08,-70.819
456.05,-70.873
457.03,-71.590
458.01,-71.215
458.98,-70.383
459.96,-70.203
460.94,-71.020
461.91,-71.195
462.89,-71.444
463.87,-69.356
