Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-28 23:14:04.2,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:04.6,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:04.7,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:05.3,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:05.4,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:05.8,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:06.2,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:06.6,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:06.8,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:07.3,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:07.4,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:07.9,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:08.2,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:08.6,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:08.9,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:09.3,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:09.4,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:10.0,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:10.2,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:10.6,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:11.0,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:11.3,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:11.4,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:12.1,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:12.2,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:12.6,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:13.1,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:13.3,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:13.4,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:14.2,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:14.2,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:14.5,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:14.6,-0.0,25.0,97.1,24.5,31.9
2026-03-28 23:14:15.2,-0.0,25.0,97.1,24.5,31.9
2026-03-28 23:14:15.3,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:15.4,-0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:16.2,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:16.3,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:16.5,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:16.6,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:17.3,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:17.4,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:17.4,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:18.2,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:18.4,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:18.5,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:18.6,-0.0,25.0,97.1,24.5,32.0
2026-03-28 23:14:19.3,-0.0,25.0,97.1,24.4,31.9
2026-03-28 23:14:19.4,-0.0,25.0,97.1,24.4,31.9
2026-03-28 23:14:19.5,-0.0,25.0,97.1,24.4,31.9
2026-03-28 23:14:20.2,0.0,25.0,97.1,24.4,32.0
2026-03-28 23:14:20.5,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:20.5,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:20.6,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:21.3,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:21.4,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:21.6,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:22.2,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:22.5,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:22.6,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:22.6,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:23.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:23.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:23.7,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:24.2,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:24.5,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:24.6,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:24.7,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:25.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:25.4,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:25.8,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:26.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:26.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:26.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:26.8,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:27.3,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:27.4,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:27.9,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:28.2,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:28.5,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:28.6,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:28.9,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:29.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:29.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:30.0,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:30.2,1.7,25.0,97.1,24.4,32.0
2026-03-28 23:14:30.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:30.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:31.1,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:31.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:31.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:32.1,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:32.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:32.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:32.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:33.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:33.3,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:33.4,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:34.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:34.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:34.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:34.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:35.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:35.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:35.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:36.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:36.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:36.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:36.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:37.3,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:37.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:37.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:38.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:38.4,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:38.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:38.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:39.3,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:39.4,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:39.5,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:40.2,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:40.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:40.5,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:40.6,1.7,25.0,97.1,24.4,31.9
2026-03-28 23:14:41.3,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:41.4,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:41.6,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:42.2,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:42.5,1.7,25.0,97.1,24.3,31.9
2026-03-28 23:14:42.6,1.7,25.0,97.1,24.3,31.9
