Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-85.039
1.95,-84.469
2.93,-84.288
3.91,-83.485
4.88,-82.459
5.86,-81.469
6.84,-82.084
7.81,-81.259
8.79,-80.060
9.77,-80.856
10.74,-78.101
11.72,-80.042
12.70,-77.833
13.67,-77.404
14.65,-75.578
15.62,-73.060
16.60,-78.620
17.58,-78.055
18.55,-77.440
19.53,-76.297
20.51,-78.340
21.48,-78.347
22.46,-78.327
23.44,-77.288
24.41,-75.448
25.39,-74.906
26.37,-70.479
27.34,-70.514
28.32,-66.012
29.30,-61.018
30.27,-64.939
31.25,-67.809
32.23,-67.863
33.20,-67.894
34.18,-65.181
35.16,-63.174
36.13,-68.823
37.11,-70.128
38.09,-72.256
39.06,-72.706
40.04,-72.405
41.02,-74.807
41.99,-70.804
42.97,-69.302
43.95,-71.163
44.92,-70.788
45.90,-67.350
46.88,-72.251
47.85,-72.701
48.83,-72.847
49.80,-71.946
50.78,-71.556
51.76,-70.391
52.73,-71.251
53.71,-71.607
54.69,-71.587
55.66,-73.552
56.64,-73.696
57.62,-68.915
58.59,-66.146
59.57,-66.924
60.55,-74.162
61.52,-70.054
62.50,-70.315
63.48,-72.725
64.45,-71.388
65.43,-72.148
66.41,-70.413
67.38,-69.169
68.36,-68.686
69.34,-68.195
70.31,-69.440
71.29,-71.159
72.27,-70.250
73.24,-71.301
74.22,-72.055
75.20,-71.442
76.17,-71.535
77.15,-72.070
78.12,-71.512
79.10,-71.989
80.08,-69.382
81.05,-69.517
82.03,-69.830
83.01,-70.448
83.98,-70.349
84.96,-71.085
85.94,-70.042
86.91,-69.500
87.89,-69.187
88.87,-67.144
89.84,-68.048
90.82,-68.561
91.80,-67.581
92.77,-68.085
93.75,-64.076
94.73,-68.072
95.70,-69.186
96.68,-69.289
97.66,-67.976
98.63,-68.238
99.61,-67.786
100.59,-67.910
101.56,-67.899
102.54,-67.792
103.52,-65.929
104.49,-66.644
105.47,-66.284
106.45,-65.085
107.42,-66.023
108.40,-65.299
109.38,-66.712
110.35,-65.955
111.33,-65.516
112.30,-64.988
113.28,-64.682
114.26,-64.660
115.23,-64.539
116.21,-64.994
117.19,-63.498
118.16,-61.711
119.14,-57.337
120.12,-43.222
121.09,-59.425
122.07,-58.156
123.05,-62.539
124.02,-64.284
125.00,-64.948
125.98,-64.243
126.95,-63.948
127.93,-60.781
128.91,-62.820
129.88,-62.477
130.86,-61.298
131.84,-58.640
132.81,-50.435
133.79,-49.031
134.77,-58.459
135.74,-61.598
136.72,-61.121
137.70,-63.155
138.67,-64.407
139.65,-62.977
140.62,-63.113
141.60,-64.659
142.58,-63.151
143.55,-63.515
144.53,-63.887
145.51,-62.749
146.48,-62.462
147.46,-63.813
148.44,-59.704
149.41,-60.717
150.39,-61.212
151.37,-61.053
152.34,-61.005
153.32,-63.627
154.30,-62.393
155.27,-63.105
156.25,-62.403
157.23,-64.164
158.20,-63.552
159.18,-63.430
160.16,-60.346
161.13,-63.656
162.11,-64.840
163.09,-63.396
164.06,-63.187
165.04,-64.386
166.02,-64.586
166.99,-65.124
167.97,-65.169
168.95,-66.228
169.92,-65.363
170.90,-65.886
171.88,-66.150
172.85,-64.245
173.83,-65.335
174.80,-66.580
175.78,-66.557
176.76,-66.198
177.73,-65.868
178.71,-66.739
179.69,-67.047
180.66,-65.650
181.64,-67.468
182.62,-66.904
183.59,-67.556
184.57,-67.043
185.55,-67.404
186.52,-63.825
187.50,-67.115
188.48,-66.014
189.45,-66.622
190.43,-67.718
191.41,-66.805
192.38,-68.367
193.36,-67.959
194.34,-67.811
195.31,-66.630
196.29,-67.551
197.27,-68.194
198.24,-69.197
199.22,-67.891
200.20,-68.129
201.17,-68.793
202.15,-68.678
203.12,-67.786
204.10,-68.209
205.08,-68.223
206.05,-67.873
207.03,-68.195
208.01,-62.126
208.98,-68.164
209.96,-67.909
210.94,-69.094
211.91,-67.692
212.89,-67.572
213.87,-67.737
214.84,-67.917
215.82,-68.662
216.80,-69.441
217.77,-69.542
218.75,-70.015
219.73,-69.510
220.70,-69.443
221.68,-69.698
222.66,-68.383
223.63,-68.724
224.61,-70.430
225.59,-69.573
226.56,-67.204
227.54,-70.089
228.52,-70.740
229.49,-69.916
230.47,-69.181
231.45,-68.883
232.42,-69.008
233.40,-69.823
234.38,-69.764
235.35,-70.055
236.33,-71.171
237.30,-69.208
238.28,-69.893
239.26,-67.491
240.23,-62.798
241.21,-68.527
242.19,-68.473
243.16,-68.654
244.14,-69.296
245.12,-69.043
246.09,-70.470
247.07,-70.209
248.05,-69.924
249.02,-69.693
250.00,-68.152
250.98,-67.697
251.95,-68.638
252.93,-68.771
253.91,-68.961
254.88,-70.618
255.86,-69.238
256.84,-70.039
257.81,-70.037
258.79,-71.364
259.77,-70.447
260.74,-70.216
261.72,-71.485
262.70,-69.883
263.67,-70.687
264.65,-71.141
265.62,-72.312
266.60,-70.093
267.58,-71.480
268.55,-70.914
269.53,-71.307
270.51,-70.911
271.48,-71.566
272.46,-71.331
273.44,-71.755
274.41,-70.832
275.39,-71.455
276.37,-69.627
277.34,-71.656
278.32,-71.671
279.30,-71.054
280.27,-69.872
281.25,-70.526
282.23,-71.191
283.20,-70.924
284.18,-72.631
285.16,-71.439
286.13,-71.166
287.11,-70.338
288.09,-71.739
289.06,-70.946
290.04,-70.514
291.02,-71.166
291.99,-72.013
292.97,-71.313
293.95,-72.952
294.92,-71.419
295.90,-71.584
296.88,-71.476
297.85,-70.626
298.83,-71.127
299.80,-71.090
300.78,-71.542
301.76,-71.601
302.73,-71.262
303.71,-71.473
304.69,-71.293
305.66,-71.910
306.64,-72.068
307.62,-71.824
308.59,-71.319
309.57,-69.956
310.55,-70.895
311.52,-71.340
312.50,-70.744
313.48,-71.700
314.45,-72.266
315.43,-72.452
316.41,-72.803
317.38,-71.552
318.36,-71.575
319.34,-72.451
320.31,-71.548
321.29,-71.772
322.27,-70.555
323.24,-72.324
324.22,-71.769
325.20,-71.750
326.17,-70.591
327.15,-71.913
328.12,-70.970
329.10,-70.235
330.08,-72.292
331.05,-72.154
332.03,-72.145
333.01,-71.929
333.98,-70.949
334.96,-70.436
335.94,-70.893
336.91,-71.205
337.89,-72.043
338.87,-72.406
339.84,-71.233
340.82,-71.072
341.80,-71.495
342.77,-71.340
343.75,-72.015
344.73,-71.516
345.70,-71.602
346.68,-71.434
347.66,-71.231
348.63,-70.258
349.61,-69.480
350.59,-71.002
351.56,-72.291
352.54,-70.244
353.52,-71.279
354.49,-70.756
355.47,-70.981
356.45,-70.472
357.42,-70.272
358.40,-70.317
359.38,-70.249
360.35,-69.927
361.33,-70.198
362.30,-70.421
363.28,-70.214
364.26,-69.418
365.23,-69.961
366.21,-69.600
367.19,-70.723
368.16,-70.784
369.14,-70.262
370.12,-70.776
371.09,-71.258
372.07,-71.306
373.05,-69.685
374.02,-70.169
375.00,-71.334
375.98,-70.786
376.95,-70.455
377.93,-69.771
378.91,-69.754
379.88,-70.947
380.86,-69.590
381.84,-69.901
382.81,-70.312
383.79,-69.732
384.77,-70.375
385.74,-69.233
386.72,-70.624
387.70,-69.785
388.67,-69.974
389.65,-69.750
390.62,-69.604
391.60,-70.861
392.58,-69.937
393.55,-69.536
394.53,-68.803
395.51,-68.624
396.48,-69.418
397.46,-67.923
398.44,-68.546
399.41,-67.643
400.39,-67.681
401.37,-68.282
402.34,-69.829
403.32,-69.772
404.30,-68.409
405.27,-68.337
406.25,-69.229
407.23,-67.932
408.20,-69.104
409.18,-68.884
410.16,-68.640
411.13,-69.822
412.11,-68.087
413.09,-68.971
414.06,-69.731
415.04,-67.841
416.02,-67.874
416.99,-68.104
417.97,-68.358
418.95,-68.578
419.92,-69.030
420.90,-68.852
421.88,-68.511
422.85,-68.242
423.83,-68.517
424.80,-69.826
425.78,-68.116
426.76,-66.549
427.73,-66.746
428.71,-68.268
429.69,-68.733
430.66,-67.772
431.64,-68.407
432.62,-67.796
433.59,-67.960
434.57,-65.761
435.55,-66.209
436.52,-66.529
437.50,-66.591
438.48,-66.533
439.45,-65.770
440.43,-66.229
441.41,-67.160
442.38,-66.369
443.36,-67.509
444.34,-67.682
445.31,-66.529
446.29,-66.719
447.27,-65.376
448.24,-66.211
449.22,-66.956
450.20,-66.404
451.17,-65.949
452.15,-65.349
453.12,-63.887
454.10,-65.936
455.08,-65.458
456.05,-65.269
457.03,-64.345
458.01,-63.843
458.98,-64.279
459.96,-64.269
460.94,-64.344
461.91,-64.082
462.89,-63.412
463.87,-62.579
464.84,-63.662
465.82,-63.332
466.80,-63.307
467.77,-62.653
468.75,-63.604
469.73,-62.881
470.70,-62.900
471.68,-63.018
472.66,-62.189
473.63,-62.687
474.61,-61.957
475.59,-62.708
476.56,-62.966
477.54,-62.162
478.52,-63.158
479.49,-62.124
480.47,-62.547
481.45,-61.116
482.42,-60.713
483.40,-62.283
484.38,-60.955
485.35,-60.963
486.33,-60.514
487.30,-60.373
488.28,-61.036
489.26,-60.971
490.23,-60.806
491.21,-61.203
492.19,-59.529
493.16,-60.455
494.14,-58.339
495.12,-58.859
496.09,-58.531
497.07,-59.341
498.05,-59.089
499.02,-59.389
500.00,-59.465
500.98,-59.369
501.95,-58.822
502.93,-58.784
503.91,-58.796
504.88,-58.695
505.86,-57.938
506.84,-57.668
507.81,-59.778
508.79,-59.825
509.77,-59.488
510.74,-58.971
511.72,-59.062
512.70,-58.790
513.67,-59.417
514.65,-58.612
515.62,-59.090
516.60,-59.338
517.58,-59.079
518.55,-60.177
519.53,-59.471
520.51,-59.196
521.48,-59.997
522.46,-59.575
523.44,-59.154
524.41,-58.043
525.39,-59.622
526.37,-60.735
527.34,-60.740
528.32,-59.774
529.30,-59.207
530.27,-60.242
531.25,-60.844
532.23,-59.723
533.20,-59.463
534.18,-62.229
535.16,-61.845
536.13,-61.010
537.11,-63.264
538.09,-62.578
539.06,-62.775
540.04,-61.649
541.02,-62.705
541.99,-61.830
542.97,-62.313
543.95,-62.549
544.92,-62.987
545.90,-62.650
546.88,-62.769
547.85,-63.326
548.83,-62.754
549.80,-63.272
550.78,-62.971
551.76,-63.590
552.73,-63.460
553.71,-63.786
