Gas,Calc_Trans J/mol*K,Calc_Rot J/mol*K,Calc_Vib J/mol*K,Calc_Cp J/mol*K,Calc_Cv J/mol*K,Calc_ratio
N2O,20.79,8.31,10.82,39.92,31.606,1.263051319
CO2,20.79,8.31,10.51,39.61,31.296,1.265656953
O2,20.79,8.31,0.03,29.14,20.826,1.399212523
N2,20.79,8.31,0,29.1,20.786,1.399980756
Argon,20.79,0,0,20.79,12.476,1.666399487
Methane,20.79,12.47,2.25,35.51,27.196,1.305706722
Ethane,20.7,12.47,17.79,51.05,42.736,1.194543242
Difluoromethane,20.7,12.47,11.07,44.33,36.016,1.230841848
Difluoroethane,20.7,12.47,32.81,66.07,57.756,1.143950412
"1,1,1,2-Tetrafluoroethane",20.7,12.47,50.63,83.89,75.576,1.110008468
"2,3,3,3-Tetrafluoropropene",20.7,12.47,64.77,98.03,89.716,1.092670204
