Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-28 23:16:28.5,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:28.6,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:28.7,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:28.8,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:29.3,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:29.4,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:29.8,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.1,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.2,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.5,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.6,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.7,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:30.9,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:31.3,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:31.4,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:31.9,1.3,25.1,97.1,24.4,32.0
2026-03-28 23:16:32.1,1.3,25.1,97.1,24.3,32.0
2026-03-28 23:16:32.2,1.3,25.1,97.1,24.3,32.0
2026-03-28 23:16:32.5,1.3,25.1,97.1,24.3,32.0
2026-03-28 23:16:32.6,1.3,25.1,97.1,24.3,32.0
2026-03-28 23:16:32.7,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:33.0,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:33.3,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:33.4,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.0,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.1,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.2,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.5,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.6,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:34.7,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:35.1,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:35.3,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:35.4,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:36.1,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:36.1,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:36.2,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:36.5,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:36.6,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:36.7,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:37.2,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:37.3,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:37.4,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:38.1,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:38.2,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:38.3,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:38.5,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:38.6,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:38.7,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:39.3,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:39.3,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:39.4,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:40.1,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:40.2,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:40.3,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:40.5,0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:40.6,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:40.7,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:41.3,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:41.4,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:41.4,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.1,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.2,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.4,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.5,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.6,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:42.7,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:43.3,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:43.4,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:43.5,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.1,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.2,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.5,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.5,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.6,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:44.7,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:45.3,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:45.4,-0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:45.6,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:46.1,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:46.2,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:46.5,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:46.6,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:46.6,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:46.7,0.0,25.1,97.1,24.5,32.0
2026-03-28 23:16:47.3,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:47.4,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:47.7,-0.0,25.1,97.1,24.4,32.0
2026-03-28 23:16:48.1,0.0,25.1,97.1,24.5,32.0
