Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-85.568
1.95,-85.157
2.93,-84.495
3.91,-83.800
4.88,-82.838
5.86,-81.341
6.84,-81.677
7.81,-81.572
8.79,-80.805
9.77,-79.342
10.74,-77.474
11.72,-78.802
12.70,-78.930
13.67,-77.326
14.65,-76.400
15.62,-73.259
16.60,-78.649
17.58,-78.758
18.55,-77.682
19.53,-77.185
20.51,-76.813
21.48,-77.959
22.46,-76.818
23.44,-76.688
24.41,-75.398
25.39,-73.721
26.37,-70.937
27.34,-70.746
28.32,-66.724
29.30,-64.813
30.27,-68.567
31.25,-70.849
32.23,-68.484
33.20,-68.876
34.18,-64.912
35.16,-63.944
36.13,-69.373
37.11,-71.856
38.09,-72.302
39.06,-72.651
40.04,-71.464
41.02,-73.230
41.99,-71.896
42.97,-70.387
43.95,-71.390
44.92,-71.870
45.90,-65.335
46.88,-73.644
47.85,-74.635
48.83,-73.017
49.80,-72.833
50.78,-70.843
51.76,-71.088
52.73,-71.018
53.71,-71.881
54.69,-72.060
55.66,-72.175
56.64,-72.170
57.62,-68.104
58.59,-65.265
59.57,-64.182
60.55,-72.629
61.52,-71.482
62.50,-69.743
63.48,-71.964
64.45,-72.341
65.43,-71.248
66.41,-69.699
67.38,-68.552
68.36,-69.099
69.34,-66.505
70.31,-68.617
71.29,-70.574
72.27,-69.589
73.24,-71.964
74.22,-71.869
75.20,-72.408
76.17,-72.150
77.15,-72.043
78.12,-70.375
79.10,-70.864
80.08,-69.782
81.05,-70.936
82.03,-70.160
83.01,-69.867
83.98,-70.369
84.96,-70.233
85.94,-70.632
86.91,-70.357
87.89,-69.464
88.87,-67.629
89.84,-68.830
90.82,-67.484
91.80,-69.040
92.77,-69.177
93.75,-63.961
94.73,-68.555
95.70,-68.562
96.68,-68.663
97.66,-68.124
98.63,-68.810
99.61,-67.873
100.59,-68.151
101.56,-68.108
102.54,-66.711
103.52,-66.880
104.49,-65.490
105.47,-66.272
106.45,-64.955
107.42,-65.776
108.40,-65.819
109.38,-64.993
110.35,-67.065
111.33,-65.579
112.30,-64.449
113.28,-64.522
114.26,-63.541
115.23,-65.048
116.21,-62.743
117.19,-63.996
118.16,-61.732
119.14,-57.816
120.12,-43.198
121.09,-60.613
122.07,-59.688
123.05,-63.958
124.02,-64.353
125.00,-65.211
125.98,-64.230
126.95,-64.433
127.93,-58.512
128.91,-63.513
129.88,-62.149
130.86,-60.788
131.84,-57.801
132.81,-49.694
133.79,-49.489
134.77,-58.400
135.74,-61.949
136.72,-62.573
137.70,-61.910
138.67,-63.123
139.65,-63.282
140.62,-62.424
141.60,-63.581
142.58,-63.767
143.55,-64.179
144.53,-64.341
145.51,-63.787
146.48,-62.887
147.46,-62.676
148.44,-58.546
149.41,-62.456
150.39,-61.803
151.37,-61.134
152.34,-62.010
153.32,-62.084
154.30,-62.678
155.27,-63.240
156.25,-63.240
157.23,-63.915
158.20,-65.559
159.18,-64.308
160.16,-61.315
161.13,-65.781
162.11,-64.530
163.09,-65.086
164.06,-65.123
165.04,-64.546
166.02,-64.821
166.99,-64.565
167.97,-63.576
168.95,-64.676
169.92,-65.746
170.90,-64.558
171.88,-65.000
172.85,-65.291
173.83,-65.261
174.80,-67.588
175.78,-67.812
176.76,-66.843
177.73,-66.424
178.71,-67.775
179.69,-66.210
180.66,-65.538
181.64,-65.716
182.62,-66.922
183.59,-66.510
184.57,-66.379
185.55,-66.607
186.52,-64.424
187.50,-66.196
188.48,-65.477
189.45,-66.428
190.43,-67.535
191.41,-66.808
192.38,-67.220
193.36,-68.484
194.34,-69.007
195.31,-69.020
196.29,-68.331
197.27,-68.779
198.24,-69.521
199.22,-68.257
200.20,-67.468
201.17,-67.505
202.15,-68.926
203.12,-69.540
204.10,-68.956
205.08,-69.177
206.05,-69.978
207.03,-68.925
208.01,-61.876
208.98,-67.676
209.96,-69.542
210.94,-69.652
211.91,-68.516
212.89,-69.109
213.87,-68.975
214.84,-68.304
215.82,-68.877
216.80,-68.840
217.77,-68.884
218.75,-71.307
219.73,-69.436
220.70,-70.400
221.68,-68.703
222.66,-69.032
223.63,-69.978
224.61,-70.172
225.59,-69.281
226.56,-67.300
227.54,-70.711
228.52,-70.566
229.49,-70.396
230.47,-69.988
231.45,-70.831
232.42,-70.872
233.40,-70.095
234.38,-69.243
235.35,-70.292
236.33,-69.511
237.30,-68.749
238.28,-67.222
239.26,-66.475
240.23,-60.254
241.21,-68.375
242.19,-68.206
243.16,-68.660
244.14,-68.442
245.12,-69.715
246.09,-71.738
247.07,-70.426
248.05,-70.712
249.02,-69.841
250.00,-68.826
250.98,-69.523
251.95,-68.318
252.93,-69.269
253.91,-68.533
254.88,-70.128
255.86,-70.362
256.84,-69.986
257.81,-70.390
258.79,-70.979
259.77,-69.951
260.74,-70.518
261.72,-71.648
262.70,-71.225
263.67,-71.845
264.65,-71.996
265.62,-70.960
266.60,-69.202
267.58,-69.874
268.55,-70.946
269.53,-72.017
270.51,-71.040
271.48,-70.842
272.46,-72.059
273.44,-72.278
274.41,-71.800
275.39,-71.541
276.37,-72.232
277.34,-71.934
278.32,-71.520
279.30,-70.644
280.27,-71.528
281.25,-70.451
282.23,-70.665
283.20,-70.852
284.18,-71.501
285.16,-71.866
286.13,-71.849
287.11,-70.536
288.09,-71.641
289.06,-72.092
290.04,-71.849
291.02,-71.371
291.99,-72.068
292.97,-71.311
293.95,-72.882
294.92,-72.450
295.90,-71.913
296.88,-73.125
297.85,-72.131
298.83,-72.212
299.80,-70.339
300.78,-71.484
301.76,-70.620
302.73,-70.477
303.71,-71.812
304.69,-72.268
305.66,-71.400
306.64,-71.267
307.62,-71.422
308.59,-71.791
309.57,-72.120
310.55,-72.053
311.52,-71.546
312.50,-70.447
313.48,-71.820
314.45,-71.354
315.43,-71.639
316.41,-72.174
317.38,-72.424
318.36,-72.155
319.34,-71.322
320.31,-71.531
321.29,-71.640
322.27,-71.715
323.24,-72.025
324.22,-71.262
325.20,-71.993
326.17,-72.126
327.15,-71.471
328.12,-71.150
329.10,-70.917
330.08,-71.891
331.05,-70.040
332.03,-70.319
333.01,-70.983
333.98,-70.918
334.96,-71.807
335.94,-72.838
336.91,-72.818
337.89,-71.633
338.87,-71.742
339.84,-71.236
340.82,-71.734
341.80,-71.518
342.77,-70.818
343.75,-71.857
344.73,-70.489
345.70,-72.499
346.68,-71.169
347.66,-70.544
348.63,-70.536
349.61,-72.314
350.59,-71.632
351.56,-70.807
352.54,-70.868
353.52,-70.547
354.49,-69.939
355.47,-71.378
356.45,-70.200
357.42,-70.961
358.40,-70.527
359.38,-70.396
360.35,-70.498
361.33,-70.432
362.30,-72.139
363.28,-70.688
364.26,-70.892
365.23,-70.857
366.21,-71.062
367.19,-69.924
368.16,-70.289
369.14,-70.460
370.12,-68.937
371.09,-70.782
372.07,-70.907
373.05,-68.582
374.02,-70.773
375.00,-70.652
375.98,-71.671
376.95,-70.519
377.93,-71.726
378.91,-70.428
379.88,-68.914
380.86,-70.789
381.84,-69.791
382.81,-69.788
383.79,-70.243
384.77,-70.101
385.74,-68.996
386.72,-69.677
387.70,-69.238
388.67,-69.770
389.65,-71.077
390.62,-69.618
391.60,-69.631
392.58,-70.135
393.55,-69.007
394.53,-68.259
395.51,-68.384
396.48,-68.812
397.46,-68.797
398.44,-69.124
399.41,-67.397
400.39,-67.637
401.37,-69.146
402.34,-69.168
403.32,-68.348
404.30,-70.005
405.27,-68.870
406.25,-69.199
407.23,-68.886
408.20,-68.070
409.18,-69.171
410.16,-69.229
411.13,-69.313
412.11,-68.240
413.09,-68.467
414.06,-69.140
415.04,-68.395
416.02,-67.852
416.99,-67.997
417.97,-69.081
418.95,-68.682
419.92,-68.748
420.90,-66.445
421.88,-67.986
422.85,-68.056
423.83,-67.890
424.80,-67.864
425.78,-68.292
426.76,-67.529
427.73,-67.940
428.71,-68.159
429.69,-67.206
430.66,-67.316
431.64,-67.706
432.62,-66.675
433.59,-66.945
434.57,-66.031
435.55,-66.498
436.52,-67.053
437.50,-67.262
438.48,-65.601
439.45,-65.039
440.43,-65.691
441.41,-65.973
442.38,-66.149
443.36,-65.205
444.34,-65.502
445.31,-65.305
446.29,-65.483
447.27,-66.164
448.24,-65.563
449.22,-65.837
450.20,-64.278
451.17,-65.169
452.15,-65.180
453.12,-64.684
454.10,-65.052
455.08,-64.770
456.05,-63.983
457.03,-63.790
458.01,-63.924
458.98,-63.883
459.96,-63.521
460.94,-62.862
461.91,-63.066
462.89,-62.658
463.87,-61.879
464.84,-62.274
465.82,-62.537
466.80,-63.018
467.77,-63.235
468.75,-63.398
469.73,-62.560
470.70,-61.414
471.68,-62.687
472.66,-61.783
473.63,-62.714
474.61,-62.038
475.59,-61.455
476.56,-61.773
477.54,-62.965
478.52,-60.908
479.49,-61.843
480.47,-61.732
481.45,-60.720
482.42,-60.513
483.40,-60.168
484.38,-60.899
485.35,-59.697
486.33,-60.085
487.30,-60.745
488.28,-60.860
489.26,-59.868
490.23,-59.869
491.21,-58.286
492.19,-58.524
493.16,-58.719
494.14,-59.340
495.12,-59.464
496.09,-61.136
497.07,-59.042
498.05,-58.790
499.02,-58.554
500.00,-59.078
500.98,-59.336
501.95,-59.140
502.93,-58.198
503.91,-57.380
504.88,-59.897
505.86,-59.371
506.84,-58.159
507.81,-58.802
508.79,-58.874
509.77,-58.362
510.74,-60.044
511.72,-59.967
512.70,-59.169
513.67,-58.939
514.65,-58.899
515.62,-59.272
516.60,-59.169
517.58,-59.777
518.55,-59.659
519.53,-60.215
520.51,-59.256
521.48,-59.725
522.46,-61.023
523.44,-60.711
524.41,-61.548
525.39,-58.985
526.37,-61.383
527.34,-62.220
528.32,-62.369
529.30,-63.017
530.27,-60.922
531.25,-61.027
532.23,-60.104
533.20,-58.571
534.18,-62.261
535.16,-63.289
536.13,-63.401
537.11,-63.775
538.09,-63.190
539.06,-61.731
540.04,-61.701
541.02,-61.892
541.99,-62.554
542.97,-63.582
543.95,-64.053
544.92,-62.633
545.90,-62.895
546.88,-63.626
547.85,-63.580
548.83,-62.948
549.80,-63.706
550.78,-64.294
551.76,-63.843
552.73,-65.061
553.71,-64.774
554.69,-65.292
555.66,-65.236
556.64,-64.371
557.62,-65.406
558.59,-63.991
559.57,-64.798
560.55,-65.062
561.52,-65.468
562.50,-65.771
563.48,-64.680
564.45,-65.374
565.43,-65.392
566.41,-65.798
567.38,-64.831
568.36,-65.342
569.34,-67.064
570.31,-65.558
571.29,-66.810
572.27,-68.062
573.24,-66.617
574.22,-66.975
575.20,-67.602
576.17,-68.553
577.15,-68.636
578.12,-67.527
579.10,-65.680
580.08,-64.303
581.05,-63.613
582.03,-65.967
583.01,-68.918
583.98,-67.319
584.96,-68.294
585.94,-66.996
586.91,-68.102
587.89,-67.695
588.87,-67.835
589.84,-67.131
590.82,-67.969
591.80,-67.937
592.77,-68.240
593.75,-68.485
594.73,-69.841
595.70,-67.938
596.68,-69.207
597.66,-68.451
598.63,-69.105
599.61,-69.213
600.59,-68.546
601.56,-68.752
602.54,-69.584
603.52,-69.275
604.49,-70.395
605.47,-69.548
606.45,-69.032
607.42,-69.293
608.40,-69.110
609.38,-70.883
610.35,-68.963
611.33,-69.794
612.30,-70.216
613.28,-69.160
614.26,-69.582
615.23,-68.584
616.21,-68.700
617.19,-70.374
618.16,-69.817
619.14,-69.884
620.12,-69.904
621.09,-69.170
622.07,-70.000
623.05,-69.824
624.02,-70.256
625.00,-70.676
625.98,-70.124
626.95,-70.293
627.93,-70.891
628.91,-70.178
629.88,-70.168
630.86,-69.695
631.84,-70.288
632.81,-70.068
633.79,-70.227
634.77,-70.856
635.74,-70.258
636.72,-69.836
637.70,-71.183
638.67,-71.091
639.65,-71.095
640.62,-70.164
641.60,-69.984
642.58,-69.323
643.55,-70.721
644.53,-71.640
645.51,-70.333
646.48,-71.481
647.46,-71.605
648.44,-70.509
649.41,-70.394
650.39,-71.937
651.37,-71.324
652.34,-71.089
653.32,-70.876
654.30,-71.549
655.27,-70.821
656.25,-71.282
657.23,-71.668
658.20,-71.661
659.18,-72.158
660.16,-71.599
661.13,-72.478
662.11,-72.494
663.09,-72.119
664.06,-71.001
665.04,-72.521
666.02,-68.027
666.99,-69.933
667.97,-70.382
668.95,-71.823
669.92,-71.417
670.90,-71.865
671.88,-72.849
672.85,-73.417
673.83,-72.370
674.80,-72.571
675.78,-71.318
676.76,-71.338
677.73,-71.446
678.71,-72.098
679.69,-71.385
680.66,-71.065
681.64,-72.243
682.62,-71.832
683.59,-70.430
684.57,-70.729
685.55,-71.588
686.52,-71.666
687.50,-71.397
688.48,-71.729
689.45,-72.054
690.43,-71.594
691.41,-71.908
692.38,-72.450
693.36,-72.406
694.34,-71.695
695.31,-71.951
696.29,-72.329
697.27,-71.636
698.24,-70.681
699.22,-71.096
700.20,-72.429
701.17,-71.726
702.15,-73.275
703.12,-71.604
704.10,-72.990
705.08,-72.201
706.05,-71.810
707.03,-72.117
708.01,-72.647
708.98,-71.824
709.96,-71.483
710.94,-72.492
711.91,-72.937
712.89,-72.148
713.87,-72.838
714.84,-72.188
715.82,-73.533
716.80,-71.850
717.77,-72.018
718.75,-72.556
719.73,-71.052
720.70,-72.120
721.68,-72.377
722.66,-72.533
723.63,-72.336
724.61,-72.364
725.59,-73.615
726.56,-72.154
727.54,-71.716
728.52,-72.293
729.49,-72.798
730.47,-72.304
731.45,-72.053
732.42,-71.312
733.40,-72.083
734.38,-72.082
735.35,-70.912
736.33,-71.987
737.30,-72.199
738.28,-72.952
739.26,-71.217
740.23,-71.521
741.21,-71.341
742.19,-71.074
743.16,-72.252
744.14,-73.592
745.12,-70.771
746.09,-71.853
747.07,-71.558
748.05,-72.262
749.02,-71.564
750.00,-71.639
750.98,-70.609
751.95,-70.202
752.93,-71.264
753.91,-71.316
754.88,-73.235
755.86,-70.880
756.84,-71.479
757.81,-72.760
758.79,-71.728
759.77,-72.796
760.74,-72.166
761.72,-71.030
762.70,-72.228
763.67,-71.970
764.65,-71.644
765.62,-71.755
766.60,-70.748
767.58,-71.023
768.55,-71.678
769.53,-71.184
770.51,-71.877
771.48,-69.842
772.46,-70.669
773.44,-71.474
774.41,-72.086
775.39,-70.980
776.37,-71.451
777.34,-71.453
778.32,-70.871
779.30,-70.648
780.27,-71.289
781.25,-72.002
782.23,-70.962
783.20,-70.029
