Timestamp,Gas Flow (slm),Lab Temperature (C),Lab Pressure (kPa),Gas Sensor Temperature (C),Humidity (%RH)
2026-03-28 23:09:51.4,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:52.1,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:52.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:53.1,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:53.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:54.2,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:54.6,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:55.3,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:55.3,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:55.4,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:56.3,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:56.6,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:09:57.3,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:57.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:57.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:58.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:58.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:59.3,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:59.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:09:59.5,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:00.5,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:00.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:01.3,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:01.4,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:01.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:02.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:02.6,-0.0,24.9,97.1,24.4,31.3
2026-03-28 23:10:03.3,-0.0,24.9,97.1,24.5,31.3
2026-03-28 23:10:03.4,-0.0,24.9,97.1,24.5,31.3
2026-03-28 23:10:03.7,-0.0,24.9,97.1,24.3,31.3
2026-03-28 23:10:04.6,0.6,24.9,97.1,24.4,31.3
2026-03-28 23:10:04.7,0.6,24.9,97.1,24.4,31.3
2026-03-28 23:10:05.3,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:05.4,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:05.8,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:06.6,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:06.8,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:07.3,0.9,24.9,97.1,24.2,31.3
2026-03-28 23:10:07.4,0.9,24.9,97.1,24.2,31.3
2026-03-28 23:10:07.9,0.9,24.9,97.1,24.2,31.3
2026-03-28 23:10:08.6,0.9,24.9,97.1,24.4,31.3
2026-03-28 23:10:08.9,0.9,24.9,97.1,24.4,31.4
2026-03-28 23:10:09.3,0.9,24.9,97.1,24.4,31.4
