Frequency (Hz),FFT Magnitude (dB)
0.00,-120.000
0.98,-89.720
1.95,-89.471
2.93,-89.048
3.91,-89.109
4.88,-87.914
5.86,-86.615
6.84,-87.614
7.81,-86.699
8.79,-85.222
9.77,-84.774
10.74,-82.615
11.72,-82.435
12.70,-83.097
13.67,-80.331
14.65,-78.464
15.62,-76.926
16.60,-82.243
17.58,-83.408
18.55,-81.755
19.53,-81.392
20.51,-81.717
21.48,-82.976
22.46,-81.664
23.44,-82.004
24.41,-79.031
25.39,-77.289
26.37,-75.035
27.34,-73.114
28.32,-68.778
29.30,-65.757
30.27,-70.124
31.25,-72.000
32.23,-71.135
33.20,-71.588
34.18,-66.973
35.16,-64.917
36.13,-71.536
37.11,-73.906
38.09,-75.188
39.06,-75.547
40.04,-75.292
41.02,-78.179
41.99,-74.016
42.97,-71.973
43.95,-74.703
44.92,-73.647
45.90,-68.839
46.88,-75.720
47.85,-76.809
48.83,-77.072
49.80,-75.594
50.78,-74.124
51.76,-73.089
52.73,-73.251
53.71,-74.097
54.69,-73.204
55.66,-75.151
56.64,-76.489
57.62,-71.251
58.59,-69.150
59.57,-71.225
60.55,-77.857
61.52,-73.609
62.50,-74.352
63.48,-75.998
64.45,-74.596
65.43,-75.507
66.41,-74.340
67.38,-73.015
68.36,-71.404
69.34,-70.490
70.31,-73.165
71.29,-74.044
72.27,-75.033
73.24,-76.193
74.22,-76.077
75.20,-76.142
76.17,-75.285
77.15,-75.730
78.12,-75.659
79.10,-74.887
80.08,-72.931
81.05,-73.966
82.03,-74.829
83.01,-75.646
83.98,-75.445
84.96,-75.308
85.94,-76.227
86.91,-74.585
87.89,-74.699
88.87,-70.017
89.84,-74.585
90.82,-71.866
91.80,-73.177
92.77,-73.158
93.75,-70.661
94.73,-73.495
95.70,-74.835
96.68,-72.789
97.66,-74.405
98.63,-74.629
99.61,-72.960
100.59,-73.168
101.56,-74.718
102.54,-72.671
103.52,-70.670
104.49,-71.418
105.47,-71.513
106.45,-69.677
107.42,-70.932
108.40,-70.120
109.38,-71.747
110.35,-70.573
111.33,-70.245
112.30,-67.905
113.28,-69.163
114.26,-68.562
115.23,-69.047
116.21,-69.212
117.19,-69.162
118.16,-66.650
119.14,-62.278
120.12,-46.624
121.09,-64.415
122.07,-61.940
123.05,-66.565
124.02,-68.558
125.00,-68.952
125.98,-69.890
126.95,-69.223
127.93,-65.332
128.91,-68.539
129.88,-67.379
130.86,-64.590
131.84,-62.405
132.81,-54.408
133.79,-51.611
134.77,-61.548
135.74,-64.781
136.72,-65.527
137.70,-67.452
138.67,-67.174
139.65,-65.696
140.62,-65.675
141.60,-65.942
142.58,-65.322
143.55,-67.388
144.53,-65.986
145.51,-65.746
146.48,-65.088
147.46,-65.496
148.44,-58.735
149.41,-63.028
150.39,-62.426
151.37,-62.567
152.34,-62.805
153.32,-61.132
154.30,-61.201
155.27,-64.877
156.25,-63.223
157.23,-64.586
158.20,-64.550
159.18,-64.252
160.16,-58.458
161.13,-64.912
162.11,-65.080
163.09,-63.997
164.06,-63.559
165.04,-64.177
166.02,-63.202
166.99,-63.190
167.97,-64.951
168.95,-63.946
169.92,-64.409
170.90,-63.857
171.88,-64.963
172.85,-65.262
173.83,-64.707
174.80,-65.600
175.78,-66.221
176.76,-65.461
177.73,-63.905
178.71,-64.827
179.69,-64.302
180.66,-64.862
181.64,-65.939
182.62,-66.332
183.59,-66.430
184.57,-66.107
185.55,-65.273
186.52,-61.891
187.50,-65.301
188.48,-63.600
189.45,-65.580
190.43,-64.902
191.41,-66.370
192.38,-66.077
193.36,-66.883
194.34,-67.774
195.31,-67.477
196.29,-66.992
197.27,-65.739
198.24,-65.489
199.22,-67.535
200.20,-65.654
201.17,-67.179
202.15,-67.682
203.12,-67.036
204.10,-66.705
205.08,-66.828
206.05,-66.233
207.03,-66.394
208.01,-58.288
208.98,-66.115
209.96,-66.847
210.94,-67.760
211.91,-67.360
212.89,-66.841
213.87,-66.744
214.84,-65.768
215.82,-66.924
216.80,-69.028
217.77,-68.749
218.75,-69.123
219.73,-70.458
220.70,-67.096
221.68,-67.696
222.66,-66.874
223.63,-67.322
224.61,-67.989
225.59,-68.563
226.56,-66.634
227.54,-69.181
228.52,-69.714
229.49,-69.074
230.47,-69.073
231.45,-68.980
232.42,-69.622
233.40,-69.335
234.38,-69.165
235.35,-69.674
236.33,-69.033
237.30,-67.496
238.28,-65.680
239.26,-64.152
240.23,-58.049
241.21,-65.805
242.19,-66.596
243.16,-68.131
244.14,-67.215
245.12,-67.063
246.09,-69.855
247.07,-69.644
248.05,-70.088
249.02,-69.107
250.00,-68.011
250.98,-68.931
251.95,-67.766
252.93,-68.362
253.91,-69.604
254.88,-70.136
255.86,-69.811
256.84,-69.593
257.81,-70.624
258.79,-70.753
259.77,-71.258
260.74,-71.541
261.72,-70.844
262.70,-70.928
263.67,-71.204
264.65,-71.791
265.62,-71.082
266.60,-66.978
267.58,-68.393
268.55,-70.966
269.53,-71.952
270.51,-70.725
271.48,-71.871
272.46,-71.530
273.44,-73.313
274.41,-73.427
275.39,-73.376
276.37,-72.680
277.34,-73.647
278.32,-72.960
279.30,-73.189
280.27,-71.629
281.25,-72.362
282.23,-72.538
283.20,-73.437
284.18,-72.693
285.16,-74.265
286.13,-73.705
287.11,-73.676
288.09,-73.730
289.06,-73.565
290.04,-73.930
291.02,-74.120
291.99,-73.228
292.97,-74.045
293.95,-75.010
294.92,-73.371
295.90,-74.132
296.88,-73.673
297.85,-73.779
298.83,-73.192
299.80,-73.760
300.78,-73.466
301.76,-74.472
302.73,-73.133
303.71,-72.749
304.69,-74.604
305.66,-74.200
306.64,-74.580
307.62,-75.520
308.59,-75.193
309.57,-74.660
310.55,-72.862
311.52,-75.153
312.50,-73.631
313.48,-74.579
314.45,-75.927
315.43,-74.151
316.41,-76.086
317.38,-75.979
318.36,-75.893
319.34,-75.329
320.31,-75.250
321.29,-75.388
322.27,-74.558
323.24,-76.157
324.22,-75.459
325.20,-75.416
326.17,-75.142
327.15,-75.179
328.12,-75.672
329.10,-74.962
330.08,-76.393
331.05,-74.714
332.03,-73.801
333.01,-74.886
333.98,-75.531
334.96,-75.939
335.94,-75.395
336.91,-75.499
337.89,-76.033
338.87,-75.815
339.84,-75.033
340.82,-75.088
341.80,-75.280
342.77,-75.377
343.75,-75.776
344.73,-76.124
345.70,-76.142
346.68,-73.985
347.66,-74.530
348.63,-75.479
349.61,-74.354
350.59,-76.116
351.56,-75.454
352.54,-75.923
353.52,-74.999
354.49,-75.637
355.47,-75.896
356.45,-72.829
357.42,-76.223
358.40,-75.459
359.38,-75.997
360.35,-73.330
361.33,-75.276
362.30,-77.128
363.28,-76.057
364.26,-75.883
365.23,-76.064
366.21,-75.293
367.19,-73.535
368.16,-75.314
369.14,-75.458
370.12,-75.209
371.09,-75.954
372.07,-76.018
373.05,-72.895
374.02,-74.559
375.00,-75.043
375.98,-76.300
376.95,-77.397
377.93,-77.262
378.91,-76.971
379.88,-75.768
380.86,-75.956
381.84,-76.624
382.81,-77.446
383.79,-77.292
384.77,-76.901
385.74,-76.633
386.72,-76.912
387.70,-76.159
388.67,-76.747
389.65,-76.936
390.62,-76.922
391.60,-76.929
392.58,-76.385
393.55,-77.068
394.53,-76.939
395.51,-76.362
396.48,-75.098
397.46,-76.687
398.44,-76.511
399.41,-74.958
400.39,-73.648
401.37,-77.057
402.34,-77.135
403.32,-76.783
404.30,-76.559
405.27,-76.878
406.25,-76.647
407.23,-77.385
408.20,-78.125
409.18,-77.290
410.16,-78.064
411.13,-78.341
412.11,-77.248
413.09,-78.288
414.06,-77.692
415.04,-77.733
416.02,-75.941
416.99,-77.755
417.97,-77.202
418.95,-77.358
419.92,-76.600
420.90,-77.994
421.88,-77.555
422.85,-76.314
423.83,-75.909
424.80,-76.713
425.78,-76.594
426.76,-75.990
427.73,-77.386
428.71,-75.936
429.69,-76.516
430.66,-77.695
431.64,-77.906
432.62,-78.370
433.59,-78.027
434.57,-76.071
435.55,-77.006
436.52,-78.267
437.50,-77.773
438.48,-77.379
439.45,-77.251
440.43,-76.715
441.41,-78.034
442.38,-76.706
443.36,-76.771
444.34,-76.856
445.31,-76.946
446.29,-77.111
447.27,-77.392
448.24,-77.837
449.22,-77.655
450.20,-77.703
451.17,-77.506
452.15,-77.839
453.12,-76.348
454.10,-77.449
455.08,-76.923
456.05,-77.734
457.03,-76.186
458.01,-78.412
458.98,-78.047
459.96,-77.635
460.94,-78.481
461.91,-77.568
462.89,-78.185
463.87,-77.257
464.84,-76.625
465.82,-76.741
466.80,-77.281
467.77,-76.984
468.75,-76.923
469.73,-76.774
470.70,-76.798
471.68,-77.099
472.66,-78.514
473.63,-76.371
474.61,-75.865
475.59,-76.455
476.56,-76.891
477.54,-77.519
478.52,-77.627
479.49,-75.747
480.47,-77.046
481.45,-76.473
482.42,-77.531
483.40,-76.763
484.38,-76.832
485.35,-76.801
486.33,-76.833
487.30,-77.870
488.28,-76.461
489.26,-77.908
490.23,-78.439
491.21,-77.749
492.19,-77.198
493.16,-76.344
494.14,-77.509
495.12,-77.882
496.09,-77.806
497.07,-77.049
498.05,-76.891
499.02,-76.863
500.00,-77.274
500.98,-77.092
501.95,-76.511
502.93,-77.335
503.91,-77.326
504.88,-77.336
505.86,-76.135
506.84,-76.656
507.81,-77.241
508.79,-76.772
509.77,-75.527
510.74,-76.232
511.72,-76.291
512.70,-76.055
513.67,-77.056
514.65,-77.062
515.62,-76.685
516.60,-76.242
517.58,-77.166
518.55,-76.845
519.53,-76.579
520.51,-76.375
521.48,-76.451
522.46,-76.397
523.44,-76.728
524.41,-76.275
525.39,-76.176
526.37,-77.308
527.34,-77.813
528.32,-77.596
529.30,-78.160
530.27,-76.799
531.25,-77.071
532.23,-76.373
533.20,-74.808
534.18,-75.894
535.16,-77.500
536.13,-76.464
537.11,-75.978
538.09,-76.830
539.06,-76.780
540.04,-75.319
541.02,-76.540
541.99,-75.723
542.97,-76.704
543.95,-76.716
544.92,-76.441
545.90,-77.143
546.88,-77.264
547.85,-76.374
548.83,-76.506
549.80,-76.198
550.78,-77.608
551.76,-76.009
552.73,-76.847
